"Registering the account ...","Enregistrement du compte..."
"No products synchronized for this category. Please come back while online!","Aucun produit synchronisé dans cette catégorie. Merci de passer en ligne !"
"Shopping cart is empty. Please add some products before entering Checkout","Le panier d'achat est vide. Veuillez ajouter des produits avant de passer à la caisse"
"Out of stock!","Rupture de stock !"
" is out of the stock!"," n'est pas en stock !"
"Some of the ordered products are not available!","Certains des produits commandés ne sont pas disponibles !"
"Stock check in progress, please wait while available stock quantities are checked","Vérification du stock en cours, veuillez patienter pendant que les stocks disponibles sont vérifiés"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Il n'y a pas de connexion Internet. Vous pouvez toujours passer votre commande. Nous vous informerons si l'un des produits commandés n'est pas disponible car nous ne pouvons pas le vérifier en mode hors ligne."
"No such configuration for the product. Please do choose another combination of attributes.","Aucune configuration de ce type pour le produit. Veuillez choisir une autre combinaison d'attributs."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Le système n'est pas sûr de la quantité de stock (volatile). Le produit a été ajouté au panier pour la pré-réservation."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Cette fonctionnalité n'est pas encore implémentée! Veuillez vous rendre sur https://github.com/DivanteLtd/vue-storefront/issues pour consulter notre Roadmap!"
"The product is out of stock and cannot be added to the cart!","Le produit est en rupture de stock et ne peut être ajouté au panier !"
"Product has been added to the cart!","Le produit a été ajouté au panier !"
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Erreur de validation interne Veuillez vérifier si tous les champs requis sont remplis. Veuillez nous contacter sur {email}"
"Product {productName} has been added to the compare!","Le produit {productName} a été ajouté au comparateur !"
"Product {productName} has been removed from compare!","Le produit {productName} a été supprimé du comparateur !"
"Product {productName} has been added to wishlist!","Le produit {productName} a été ajouté à la liste des souhaits !"
"Product {productName} has been removed from wishlit!","Le produit {productName} a été supprimé de la liste des souhaits !"
"Account data has successfully been updated","Votre compte a été mis à jour avec succès"
"Newsletter preferences have successfully been updated","Les préférences de la newsletter ont été mises à jour avec succès"
"Reset password feature does not work while offline!","La fonction de réinitialisation du mot de passe ne fonctionne pas en mode hors ligne !"
"You are logged in!","Vous êtes authentifié !"
"Please fix the validation errors","Veuillez corriger les erreurs de validation"
"Product price is unknown, product cannot be added to the cart!","Le prix du produit est inconnu, le produit ne peut pas être ajouté au panier !"
"My Account","Mon compte"
"Type what you are looking for...","Saisissez votre recherche ..."
"Home Page","Page d'accueil"
"Checkout","Valider"
"Subtotal incl. tax","Sous-total taxes incluses"
"Grand total","Total"
"Field is required","Champ requis"
"Field is required.","Champ requis."
"You're logged out","Vous êtes déconnecté"
"Compare Products","Comparer les produits"
"404 Page Not Found","404 Page non trouvée"
"Error with response - bad content-type!","Erreur avec réponse - mauvais type de contenu !"
"Unhandled error, wrong response format!","Erreur non prise en charge, format de réponse incorrect !"
"View all","Voir tout"
"not authorized","pas autorisé"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Une erreur interne est survenue. Veuillez nettoyer le stockage du site et rafraîchir la page."
"Proceed to checkout","Passer la commande"
"OK","OK"
"Out of the stock!","Épuisé !"
"In stock!","En stock !"
"Please configure product custom options and fix the validation errors","Veuillez configurer les options du produit et corriger les erreurs de validation"
"Error refreshing user token. User is not authorized to access the resource","Une erreur est survenue. L'utilisateur n'est pas autorisé à accéder à cette ressource"
"Must be greater than 0","Doit être supérieur à 0"
"Are you sure you would like to remove this item from the shopping cart?","Etes-vous sûr de vouloir supprimer cet objet de votre panier ?"
"You need to be logged in to see this page","Vous devez être connecté pour voir cette page"
