"Registering the account ...","注册帐户 ..."
"No products synchronized for this category. Please come back while online!","没有为此类别的商品。 请等商品上线后再来看看!"
"Shopping cart is empty. Please add some products before entering Checkout","亲，购物车空空如也~， 快去选择一些你喜欢的商品吧."
"Out of stock!","缺库存!"
" is out of the stock!"," 没有库存!"
"Some of the ordered products are not available!","部分订购的商品不可用!"
"Stock check in progress, please wait while available stock quantities are checked","正在确认库存数量，请稍候"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","网络连接不上 我们现在无法确认库存。但是您仍然可以下订单， 如果订购的产品有问题，我们会通知您。"
"No such configuration for the product. Please do choose another combination of attributes.","没有这样的商品配置。 请选择其他属性组合."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","系统不确定库存量（不稳定）。 产品已添加到购物车中进行预订."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","此功能尚未实现！ 请查看我们的开发路线图https://github.com/DivanteLtd/vue-storefront/issues!"
"The product is out of stock and cannot be added to the cart!","该商品缺货，无法添加到购物车!"
"Product has been added to the cart!","已成功将商品加入购物车!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","内部验证错误。 请检查是否填写了所有必填字段。请通过 {email} 与我们联系"
"Product {productName} has been added to the compare!","商品 {productName} 已经添加到比较列表中!"
"Product {productName} has been removed from compare!","商品 {productName} 已从比较列表中移除!"
"Product {productName} has been added to wishlist!","商品 {productName} 已添加到心愿单!"
"Product {productName} has been removed from wishlit!","已从心愿单中移除了商品 {productName} !"
"Account data has successfully been updated","帐户数据已更新成功"
"Newsletter preferences have successfully been updated","时事通讯首选项已成功更新"
"Reset password feature does not work while offline!","离线状态时，不能重置密码!"
"You are logged in!","您已成功登录!"
"Please fix the validation errors","请修复验证错误"
"Product price is unknown, product cannot be added to the cart!","商品价格未确定，无法添加到购物车！"
"My Account","我的账户"
"Type what you are looking for...","请输入你想要查找的关键词..."
"Home Page","主页"
"Checkout","注销"
"Subtotal incl. tax","含税小计"
"Grand total","合计"
"Field is required","必填字段"
"You're logged out","您已注销"
"Compare Products","商品比较"
"404 Page Not Found","404 出错了，网页未找到。"
"Error with response - bad content-type!","服务端响应错误 - 错误的 content-type!"
"Unhandled error, wrong response format!","未处理的错误，错误的响应格式!"
"not authorized","没有权限"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","刷新令牌时出现内部应用程序错误。 请清除浏览器缓存，刷新页面重试."
"Proceed to checkout","去结算"
"OK","确定"
"In stock!","库存充足!"
"Please configure product custom options and fix the validation errors","请配置产品自定义选项并修复验证错误"
"Error refreshing user token. User is not authorized to access the resource","刷新用户令牌时出错。 用户无权访问该资源"
"Must be greater than 0","必须大于0"
"Please select the field which You like to sort by","请选择您要排序的字段"
"No available product variants","没有可用的产品"
"email","电子邮箱"
"password","密码"
"Confirm your order","确认订单"
"Please confirm order you placed when you was offline","请确认您离线时的订单"
"Payment Information","付款信息"
"You are to pay for this order upon delivery.","您需要在收货时支付此订单."
"Allow notification about the order","允许订阅有关订单的通知"
"Extension developers would like to thank you for placing an order!","拓展开发市场人员感谢您下订单!"
"most you may purchase","你最多可以买"
"have as many","有尽可能多的"
"Compare products","商品比较"
"Reviews","评论列表"
"Review","评论"
"Add review","添加评论"
"Summary","摘要",
"login","登录"
"to account","我的账户"
"Are you sure you would like to remove this item from the shopping cart?","您确定要从购物车中删除此商品吗？"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","在离线模式下，商品，类别或CMS页面不可用。 请返回主页."
"Please configure product bundle options and fix the validation errors","请配置商品属性选项并修复验证错误"
"Processing order...","订单处理中..."
"You need to be logged in to see this page","您需要登录才能查看此页面"
